,Longitude,Latitude,xm,ym,zm_depth,zm,xkm,ykm,zkm,dem_m,date,mean_tds_t,var_tds_t,sigma_tds_t,mean_tds,sigma_tds,mean_temp_t,var_temp_t,sigma_temp_t,mean_temp,sigma_temp,mean_res_t,var_res_t,sigma_res_t,mean_res,sigma_res,mean_por_t,var_por_t,sigma_por_t,mean_por,sigma_por,mean_bicarb,var_bicarb,sigma_bicarb
325242,-120.8228581508,35.9341863029,-74.1548936449,-231.1066287167,686.79443359375,-370.0,-74.1548936449,-231.1066287167,-0.37,316.79,2017.667,8.92646,0.16512,0.406,7529.0,3465.0,0.49336,0.06065,0.246,52.9,15.4,1.22296,0.08551,0.292,3.4,1.1,-1.0595,0.0118,0.1086,0.3466,0.038,0.114,0.0435,0.2086
388366,-120.7690722231,35.9310356968,-69.3107261388,-231.4973557146,565.7830810546875,-120.0,-69.3107261388,-231.4973557146,-0.12,445.78,2017.667,7.77108,0.31173,0.558,2371.0,1676.0,0.28821,0.06776,0.26,39.1,12.8,2.14768,0.14935,0.386,8.6,3.7,-1.1348,0.0143,0.1196,0.3215,0.0389,0.3526,0.0722,0.2687
88181,-120.8887892879,35.984596,-80.0438490488,-225.4524428323,242.8999938964844,-110.0,-80.0438490488,-225.4524428323,-0.11,132.9,2017.667,7.44178,0.15244,0.39,1706.0,747.0,0.12666,0.06108,0.247,30.0,9.6,2.42211,0.07685,0.277,11.3,3.3,-1.1476,0.0118,0.1086,0.3174,0.0348,0.3087,0.0633,0.2516
424580,-120.8245931807,35.9530899393,-74.2929814507,-229.0050693401,277.10479736328125,-50.0,-74.2929814507,-229.0050693401,-0.05,227.1,2017.667,7.18218,0.15005,0.387,1316.0,571.0,0.1972,0.0616,0.248,33.8,10.6,2.63216,0.07787,0.279,13.9,4.1,-1.252,0.0115,0.1072,0.2859,0.0309,0.2869,0.0572,0.2392
226073,-120.8922593478,36.030279788,-80.3085823368,-220.3738721321,826.2275543212891,-620.0,-80.3085823368,-220.3738721321,-0.62,206.23,2017.667,9.64453,0.47924,0.692,15437.0,15382.0,0.64939,0.0746,0.273,65.4,21.4,0.73603,0.2209,0.47,2.1,1.2,-1.1221,0.0186,0.1364,0.3256,0.045,0.0705,0.1332,0.365
264384,-120.8367383902,35.893228424,-75.445890788,-235.6460320491,785.2594146728516,-640.0,-75.445890788,-235.6460320491,-0.64,145.26,2017.667,8.5312,0.1926,0.439,5071.0,2573.0,0.57923,0.06636,0.258,59.5,18.2,1.52368,0.09822,0.313,4.6,1.5,-1.105,0.0133,0.1153,0.3312,0.0386,0.3446,0.0392,0.198
379950,-120.7968327019,35.9483640302,-71.7963316494,-229.5515102555,339.9461364746094,-40.0,-71.7963316494,-229.5515102555,-0.04,299.95,2017.667,7.28404,0.23046,0.48,1457.0,832.0,0.19947,0.065,0.255,33.9,11.1,2.55272,0.11303,0.336,12.8,4.7,-1.214,0.0128,0.1131,0.297,0.0339,0.3568,0.0678,0.2604
172170,-120.8540886894,35.986171303,-76.9172427566,-225.3061471557,401.48509216308594,-190.0,-76.9172427566,-225.3061471557,-0.19,211.49,2017.667,7.79555,0.19792,0.445,2430.0,1255.0,0.29377,0.06294,0.251,39.4,12.3,2.13324,0.0991,0.315,8.4,2.9,-1.1316,0.0127,0.1127,0.3225,0.0367,0.3812,0.0617,0.2484
334358,-120.8159180311,35.940487515,-73.52344982,-230.4119690852,277.70947265625,70.0,-73.52344982,-230.4119690852,0.07,347.71,2017.667,6.85988,0.14728,0.384,953.0,409.0,0.09604,0.06282,0.251,28.5,9.4,2.82768,0.07708,0.278,16.9,5.0,-1.1537,0.0117,0.1082,0.3155,0.0344,0.3805,0.0569,0.2385
368027,-120.772542283,35.9200085756,-69.6334327335,-232.719923236,571.7308654785156,-200.0,-69.6334327335,-232.719923236,-0.2,371.73,2017.667,7.82464,0.32682,0.572,2501.0,1831.0,0.32542,0.06735,0.26,41.4,13.4,2.08871,0.15618,0.395,8.1,3.6,-1.1219,0.0145,0.1204,0.3257,0.0396,0.3469,0.0723,0.2689
368794,-120.7794824027,35.9247344847,-70.2546525513,-232.1897571748,1029.559112548828,-630.0,-70.2546525513,-232.1897571748,-0.63,399.56,2017.667,8.88906,0.26283,0.513,7252.0,4535.0,0.64328,0.06762,0.26,64.9,19.9,1.26857,0.12785,0.358,3.6,1.4,-1.1595,0.0143,0.1196,0.3136,0.0379,0.1522,0.0627,0.2504
349971,-120.7898925822,35.9058308483,-71.210397073,-234.2821645898,485.9295959472656,-130.0,-71.210397073,-234.2821645898,-0.13,355.93,2017.667,7.42083,0.20264,0.45,1670.0,876.0,0.23315,0.06625,0.257,35.8,11.8,2.43926,0.10057,0.317,11.5,3.9,-1.1925,0.0136,0.1166,0.3035,0.0358,0.3711,0.0707,0.2659
236903,-120.9234898864,36.0050749394,-83.1467048278,-223.1473126285,227.24961853027344,-50.0,-83.1467048278,-223.1473126285,-0.05,177.25,2017.667,7.06794,0.2046,0.452,1174.0,619.0,0.08214,0.06079,0.247,27.8,9.0,2.66877,0.10107,0.318,14.4,4.9,-1.1041,0.0135,0.1162,0.3315,0.0389,0.406,0.0654,0.2557
235714,-120.9078746171,36.0176773637,-81.7274141231,-221.7607152194,730.0475311279297,-600.0,-81.7274141231,-221.7607152194,-0.6,130.05,2017.667,8.80642,0.18953,0.435,6677.0,3353.0,0.54039,0.06822,0.261,56.4,17.7,1.36889,0.09594,0.31,3.9,1.3,-1.1726,0.0135,0.1162,0.3096,0.0363,0.1451,0.0559,0.2364
477725,-120.8384734201,36.0050749394,-75.4924300002,-223.2184398767,240.2200927734375,40.0,-75.4924300002,-223.2184398767,0.04,280.22,2017.667,7.62107,0.2748,0.524,2041.0,1317.0,0.16353,0.06593,0.257,32.0,10.7,2.29491,0.13276,0.364,9.9,4.0,-1.1423,0.0133,0.1153,0.3191,0.0372,0.3404,0.0696,0.2638
459634,-120.8124479713,35.9814453939,-73.1717701418,-225.8641691369,568.2625427246094,-240.0,-73.1717701418,-225.8641691369,-0.24,328.26,2017.667,7.81805,0.19372,0.44,2485.0,1266.0,0.3613,0.06565,0.256,43.7,13.8,2.06412,0.09648,0.311,7.9,2.6,-1.1067,0.0122,0.1105,0.3306,0.0369,0.3257,0.0636,0.2522
32736,-120.8488835997,35.9310356968,-76.503345271,-231.4359813712,734.2297515869141,-520.0,-76.503345271,-231.4359813712,-0.52,214.23,2017.667,8.92771,0.14518,0.381,7538.0,3204.0,0.50348,0.05223,0.229,53.6,14.1,1.30722,0.07616,0.276,3.7,1.1,-1.1573,0.0117,0.1082,0.3143,0.0343,0.2114,0.0356,0.1887
474932,-120.8263282107,36.0019243333,-74.4020080559,-223.5780858712,638.5127563476562,-350.0,-74.4020080559,-223.5780858712,-0.35,288.51,2017.667,8.83816,0.20917,0.457,6892.0,3691.0,0.50285,0.06724,0.259,53.6,16.7,1.34142,0.10495,0.324,3.8,1.3,-1.1559,0.0133,0.1153,0.3148,0.0367,0.0976,0.0491,0.2216
117427,-120.864498869,35.9515146363,-77.8898439228,-229.1480591279,200.98585510253903,-60.0,-77.8898439228,-229.1480591279,-0.06,140.99,2017.667,7.32934,0.09782,0.313,1524.0,513.0,0.43345,0.02066,0.144,48.5,6.5,2.45821,0.04997,0.224,11.7,2.7,-1.2831,0.0103,0.1015,0.2772,0.0283,0.2319,0.0492,0.2218
196909,-120.8540886894,36.0098008485,-76.8935917127,-222.6808225709,135.5338134765625,150.0,-76.8935917127,-222.6808225709,0.15,285.53,2017.667,7.13025,0.17161,0.414,1249.0,589.0,0.00982,0.06635,0.258,24.3,8.7,2.65666,0.08798,0.297,14.2,4.5,-1.1033,0.0132,0.1149,0.3318,0.0385,0.4113,0.0552,0.2349
379987,-120.795097672,35.9483640302,-71.6400054092,-229.5528227236,764.7077026367188,-480.0,-71.6400054092,-229.5528227236,-0.48,284.71,2017.667,8.73297,0.21545,0.464,6204.0,3388.0,0.55927,0.06607,0.257,57.9,17.7,1.37633,0.10816,0.329,4.0,1.4,-1.1413,0.0132,0.1149,0.3194,0.0371,0.0924,0.0451,0.2124
229735,-120.8957294076,36.0019243333,-80.6506640586,-223.5213354838,581.5501403808594,-450.0,-80.6506640586,-223.5213354838,-0.45,131.55,2017.667,8.88142,0.17865,0.423,7197.0,3480.0,0.40622,0.06481,0.255,46.7,14.5,1.35207,0.09122,0.302,3.9,1.3,-1.1174,0.0122,0.1105,0.3271,0.0365,0.2425,0.0516,0.2272
120780,-120.8367383902,35.9530899393,-75.3871944349,-228.9954821378,816.9305419921875,-550.0,-75.3871944349,-228.9954821378,-0.55,266.93,2017.667,8.68878,0.18208,0.427,5936.0,2906.0,0.61287,0.05821,0.241,62.3,17.4,1.41238,0.0936,0.306,4.1,1.3,-1.1737,0.0121,0.11,0.3092,0.0343,0.1172,0.0316,0.1778
432678,-120.8003027618,35.9578158484,-72.1001196163,-228.4987683068,416.9025573730469,-70.0,-72.1001196163,-228.4987683068,-0.07,346.9,2017.667,7.49044,0.24556,0.496,1791.0,1068.0,0.20622,0.06505,0.255,34.3,11.2,2.40277,0.11972,0.346,11.1,4.2,-1.1978,0.0129,0.1136,0.3019,0.0346,0.3431,0.0682,0.2612
155235,-120.8315333004,35.9751441818,-74.8967552045,-226.5493466776,511.87890625,-250.0,-74.8967552045,-226.5493466776,-0.25,261.88,2017.667,8.11814,0.23361,0.483,3355.0,1934.0,0.30782,0.06327,0.252,40.3,12.5,1.90253,0.11477,0.339,6.7,2.5,-1.1164,0.013,0.114,0.3275,0.0377,0.3483,0.0668,0.2585
418108,-120.795097672,35.9782947878,-71.6121170812,-226.2274584724,253.2789001464844,30.0,-71.6121170812,-226.2274584724,0.03,283.28,2017.667,7.47088,0.26595,0.516,1756.0,1107.0,0.16338,0.06721,0.259,32.0,10.8,2.42543,0.12884,0.359,11.3,4.5,-1.1864,0.0133,0.1153,0.3053,0.0356,0.3519,0.0686,0.2619
62972,-120.9044045573,35.9546652423,-81.4818311899,-228.7644853132,627.4401550292969,-290.0,-81.4818311899,-228.7644853132,-0.29,337.44,2017.667,7.10669,0.22636,0.476,1220.0,689.0,0.31543,0.06375,0.252,40.7,12.7,2.5839,0.11157,0.334,13.2,4.8,-1.1416,0.013,0.114,0.3193,0.0368,0.4188,0.0622,0.2494
153703,-120.84194348,35.9735688787,-75.8359367711,-226.716090896,436.7694396972656,-180.0,-75.8359367711,-226.716090896,-0.18,256.77,2017.667,8.22174,0.21144,0.46,3721.0,2007.0,0.23569,0.06226,0.25,36.0,11.3,1.86868,0.10481,0.324,6.5,2.3,-1.139,0.0121,0.11,0.3201,0.0355,0.2959,0.0676,0.26
379490,-120.7916276122,35.9452134241,-71.3302756312,-229.9054742289,869.6649475097656,-590.0,-71.3302756312,-229.9054742289,-0.59,279.66,2017.667,8.86664,0.31571,0.562,7091.0,5060.0,0.64502,0.06811,0.261,65.0,20.0,1.27991,0.15105,0.389,3.6,1.6,-1.158,0.0139,0.1179,0.3141,0.0374,0.1449,0.0698,0.2642
135395,-120.8835841982,35.9688429696,-79.5914069573,-227.2070149837,334.2692565917969,-200.0,-79.5914069573,-227.2070149837,-0.2,134.27,2017.667,7.50509,0.14804,0.385,1817.0,782.0,0.21055,0.05922,0.243,34.5,10.5,2.35859,0.07586,0.275,10.6,3.1,-1.1493,0.0123,0.1109,0.3169,0.0355,0.35,0.0667,0.2583
280666,-120.8089779114,35.8995296361,-72.9369099389,-234.9677078282,932.3375854492188,-630.0,-72.9369099389,-234.9677078282,-0.63,302.34,2017.667,9.03778,0.17505,0.418,8415.0,4017.0,0.584,0.06678,0.258,59.9,18.4,1.18854,0.09087,0.301,3.3,1.1,-1.1154,0.0135,0.1162,0.3278,0.0385,0.2748,0.0358,0.1892
189137,-120.84194348,35.9971984242,-75.8126222024,-224.0907818224,886.98046875,-620.0,-75.8126222024,-224.0907818224,-0.62,266.98,2017.667,9.73605,0.55884,0.748,16917.0,19355.0,0.68092,0.07303,0.27,68.2,21.9,0.64524,0.25329,0.503,1.9,1.2,-1.1008,0.0207,0.1439,0.3326,0.0486,0.0477,0.1711,0.4136
157640,-120.84020845,35.9798700909,-75.6734580431,-226.0173981668,764.0286865234375,-500.0,-75.6734580431,-226.0173981668,-0.5,264.03,2017.667,8.78799,0.17177,0.414,6555.0,3092.0,0.50319,0.06364,0.252,53.6,16.1,1.3474,0.08913,0.299,3.8,1.2,-1.1378,0.0119,0.1091,0.3205,0.0353,0.0304,0.0338,0.1838
372897,-120.7968327019,35.9294603938,-71.813983519,-231.6517107003,439.8176879882813,-100.0,-71.813983519,-231.6517107003,-0.1,339.82,2017.667,7.2591,0.23681,0.487,1421.0,827.0,0.23891,0.0647,0.254,36.1,11.6,2.54316,0.11577,0.34,12.7,4.7,-1.1957,0.0131,0.1145,0.3025,0.035,0.3685,0.07,0.2646
370774,-120.7812174326,35.9278850907,-70.4081427429,-231.8384387137,641.2666320800781,-270.0,-70.4081427429,-231.8384387137,-0.27,371.27,2017.667,8.18371,0.3042,0.552,3582.0,2487.0,0.39181,0.0664,0.258,45.7,14.4,1.80151,0.14592,0.382,6.1,2.6,-1.0881,0.0139,0.1179,0.3369,0.0401,0.3156,0.0715,0.2674
278901,-120.8211231209,35.8979543331,-74.033402557,-235.1333065334,669.6371612548828,-460.0,-74.033402557,-235.1333065334,-0.46,209.64,2017.667,8.13142,0.26085,0.511,3400.0,2114.0,0.49725,0.0658,0.257,53.2,16.4,1.78226,0.12744,0.357,5.9,2.3,-1.0712,0.0135,0.1162,0.3426,0.0402,0.3114,0.0586,0.2421
169053,-120.8575587493,35.9814453939,-77.2344891669,-225.8283867892,781.0716705322266,-580.0,-77.2344891669,-225.8283867892,-0.58,201.07,2017.667,8.72599,0.18348,0.428,6161.0,3030.0,0.57938,0.06358,0.252,59.5,17.7,1.40423,0.09444,0.307,4.1,1.3,-1.1831,0.012,0.1095,0.3063,0.0339,0.0996,0.0348,0.1865
155645,-120.8315333004,35.9782947878,-74.8936850456,-226.1993068331,496.7732849121094,-200.0,-74.8936850456,-226.1993068331,-0.2,296.77,2017.667,8.10823,0.25027,0.5,3322.0,2007.0,0.28164,0.06361,0.252,38.7,12.2,1.9209,0.12206,0.349,6.8,2.6,-1.1214,0.0131,0.1145,0.3258,0.0377,0.3408,0.0687,0.2621
274377,-120.819388091,35.8837766058,-73.8905874246,-236.7097630603,637.7776794433594,-340.0,-73.8905874246,-236.7097630603,-0.34,297.78,2017.667,7.62097,0.32997,0.574,2041.0,1505.0,0.40188,0.06676,0.258,46.4,14.7,2.18232,0.15745,0.397,8.9,4.0,-1.1084,0.0144,0.12,0.3301,0.04,0.3527,0.0721,0.2685
109973,-120.8922593478,36.0019243333,-80.338232257,-223.5242816381,215.0614013671875,-80.0,-80.338232257,-223.5242816381,-0.08,135.06,2017.667,7.53871,0.18557,0.431,1879.0,931.0,0.0956,0.06408,0.253,28.4,9.5,2.3564,0.09338,0.306,10.6,3.5,-1.1164,0.0126,0.1122,0.3275,0.0371,0.3448,0.0651,0.2551
311783,-120.8037728216,35.9263097877,-72.4424095588,-231.9964618897,840.6272888183594,-500.0,-72.4424095588,-231.9964618897,-0.5,340.63,2017.667,8.96171,0.15307,0.391,7799.0,3424.0,0.565,0.06492,0.255,58.4,17.6,1.20798,0.08221,0.287,3.3,1.0,-1.1196,0.0129,0.1136,0.3264,0.0374,0.0759,0.0268,0.1637
297519,-120.7864225224,35.9152826665,-70.8888609351,-233.2346812644,919.2488403320312,-580.0,-70.8888609351,-233.2346812644,-0.58,339.25,2017.667,9.03923,0.20827,0.456,8427.0,4500.0,0.58318,0.06749,0.26,59.9,18.5,1.17244,0.10511,0.324,3.2,1.1,-1.1284,0.0137,0.117,0.3236,0.0383,0.1515,0.0434,0.2083
207471,-120.8749090485,36.0161020607,-78.7615350083,-221.9636396136,568.0276336669922,-340.0,-78.7615350083,-221.9636396136,-0.34,228.03,2017.667,9.08116,0.17027,0.413,8788.0,4123.0,0.41569,0.06569,0.256,47.3,14.8,1.21064,0.08733,0.296,3.4,1.1,-1.1241,0.0124,0.1114,0.3249,0.0365,0.1737,0.0541,0.2326
359223,-120.7742773129,35.9105567574,-69.7983929268,-233.768735437,238.4732666015625,50.0,-69.7983929268,-233.768735437,0.05,288.47,2017.667,6.8579,0.18783,0.433,951.0,475.0,0.10437,0.06781,0.26,28.9,10.1,2.8153,0.0946,0.308,16.7,5.5,-1.1371,0.0136,0.1166,0.3207,0.0378,0.3869,0.0691,0.2629
7832,-120.8332683304,35.8995296361,-75.1268623724,-234.9487404889,301.5685272216797,-80.0,-75.1268623724,-234.9487404889,-0.08,221.57,2017.667,7.15663,0.19867,0.446,1283.0,664.0,0.24222,0.06468,0.254,36.3,11.7,2.62358,0.09842,0.314,13.8,4.7,-1.2161,0.0126,0.1122,0.2964,0.0336,0.3743,0.0685,0.2617
76345,-120.9078746171,35.9782947878,-81.7693148156,-226.1362330757,425.6507110595703,-210.0,-81.7693148156,-226.1362330757,-0.21,215.65,2017.667,7.35991,0.21267,0.461,1572.0,851.0,0.2197,0.06423,0.253,35.1,11.3,2.4531,0.10512,0.324,11.6,4.1,-1.1472,0.0134,0.1158,0.3175,0.0371,0.3791,0.0689,0.2625
228572,-120.8697039588,36.0350056971,-78.2737057388,-219.8676622394,134.5171661376953,70.0,-78.2737057388,-219.8676622394,0.07,204.52,2017.667,7.53012,0.29528,0.543,1863.0,1266.0,0.12328,0.06864,0.262,29.8,10.4,2.35707,0.14233,0.377,10.6,4.4,-1.1141,0.0141,0.1187,0.3282,0.0394,0.3815,0.0701,0.2648
118291,-120.8575587493,35.9562405454,-77.2598190268,-228.6286862111,512.0782165527344,-330.0,-77.2598190268,-228.6286862111,-0.33,182.08,2017.667,8.27833,0.11423,0.338,3938.0,1450.0,0.45728,0.02548,0.16,50.2,7.9,1.65486,0.05857,0.242,5.2,1.3,-1.0247,0.0106,0.103,0.3589,0.0372,0.2376,0.0399,0.1997
409202,-120.7864225224,35.9625417575,-70.8453077784,-227.9841754556,274.2884521484375,70.0,-70.8453077784,-227.9841754556,0.07,344.29,2017.667,7.21362,0.21935,0.468,1358.0,750.0,0.10584,0.06719,0.259,29.0,10.0,2.60601,0.10846,0.329,13.5,4.8,-1.1707,0.0131,0.1145,0.3101,0.0358,0.3711,0.0666,0.2581
5529,-120.8627638391,35.9121320604,-77.7733423459,-233.5248561485,681.6213531494141,-430.0,-77.7733423459,-233.5248561485,-0.43,251.62,2017.667,7.64789,0.23022,0.48,2096.0,1197.0,0.46272,0.06394,0.253,50.6,15.4,2.10257,0.11381,0.337,8.2,3.0,-1.0649,0.0124,0.1114,0.3448,0.0387,0.3102,0.0598,0.2445
38440,-120.8350033603,35.9310356968,-75.2524587383,-231.4470901128,467.6544189453125,-180.0,-75.2524587383,-231.4470901128,-0.18,287.65,2017.667,7.90046,0.19182,0.438,2699.0,1366.0,0.29151,0.05696,0.239,39.3,11.4,2.05146,0.09567,0.309,7.8,2.6,-1.1232,0.0122,0.1105,0.3252,0.0363,0.3361,0.0704,0.2653
410407,-120.7656021633,35.9530899393,-68.978215657,-229.0496418803,427.1089782714844,-30.0,-68.978215657,-229.0496418803,-0.03,397.11,2017.667,7.7479,0.26263,0.512,2317.0,1448.0,0.22518,0.06861,0.262,35.4,11.9,2.20625,0.12691,0.356,9.1,3.6,-1.1615,0.0142,0.1192,0.313,0.0377,0.3556,0.0715,0.2674
30831,-120.8558237194,35.9278850907,-77.1319476796,-231.7803879299,320.6190185546875,-130.0,-77.1319476796,-231.7803879299,-0.13,190.62,2017.667,7.46744,0.15798,0.397,1750.0,784.0,0.22658,0.05884,0.243,35.4,10.7,2.4146,0.08107,0.285,11.2,3.4,-1.2093,0.0115,0.1072,0.2984,0.0323,0.3257,0.0662,0.2573
107546,-120.8939943777,35.9971984242,-80.4993993881,-224.0478733345,182.6000061035156,-50.0,-80.4993993881,-224.0478733345,-0.05,132.6,2017.667,7.37338,0.15388,0.392,1593.0,702.0,0.06549,0.06355,0.252,27.0,9.1,2.46562,0.07954,0.282,11.8,3.5,-1.1029,0.0123,0.1109,0.3319,0.0372,0.348,0.0592,0.2433
291995,-120.8297982705,35.9121320604,-74.8017578099,-233.5513818473,212.79254150390625,70.0,-74.8017578099,-233.5513818473,0.07,282.79,2017.667,6.84089,0.16613,0.408,935.0,432.0,0.10595,0.0634,0.252,29.0,9.6,2.83495,0.08518,0.292,17.0,5.3,-1.1467,0.0119,0.1091,0.3177,0.035,0.3995,0.0625,0.25
457815,-120.819388091,35.9830206969,-73.7952922756,-225.6837693211,912.8572387695312,-610.0,-73.7952922756,-225.6837693211,-0.61,302.86,2017.667,9.2761,0.40271,0.635,10680.0,9198.0,0.64633,0.06975,0.264,65.2,20.4,0.99526,0.18786,0.433,2.7,1.4,-1.1407,0.0138,0.1175,0.3196,0.0379,0.1064,0.0962,0.3102
348761,-120.7985677319,35.9011049392,-71.996883263,-234.8006521721,382.91351318359375,-80.0,-71.996883263,-234.8006521721,-0.08,302.91,2017.667,7.02124,0.17648,0.42,1120.0,538.0,0.19853,0.06595,0.257,33.9,11.2,2.71621,0.08928,0.299,15.1,4.8,-1.1958,0.0131,0.1145,0.3025,0.035,0.3895,0.0697,0.264
144198,-120.8488835997,35.9578158484,-76.4767049125,-228.4607021811,645.9630279541016,-460.0,-76.4767049125,-228.4607021811,-0.46,185.96,2017.667,8.62338,0.11191,0.335,5560.0,2023.0,0.5434,0.04583,0.214,56.7,13.6,1.42243,0.06109,0.247,4.1,1.1,-1.1077,0.0108,0.1039,0.3303,0.0346,0.0579,0.0202,0.1421
271984,-120.8141830012,35.894803727,-73.4106948124,-235.4887271989,255.41925048828125,30.0,-73.4106948124,-235.4887271989,0.03,285.42,2017.667,6.77887,0.1767,0.42,879.0,422.0,0.13083,0.06612,0.257,30.2,10.2,2.87788,0.08966,0.299,17.8,5.7,-1.166,0.0125,0.1118,0.3116,0.0352,0.3923,0.0681,0.261
422538,-120.8297982705,35.9467887272,-74.7680574358,-229.7010468577,479.6704406738281,-220.0,-74.7680574358,-229.7010468577,-0.22,259.67,2017.667,8.36707,0.18189,0.426,4303.0,2105.0,0.34137,0.05756,0.24,42.4,12.2,1.7084,0.09144,0.302,5.5,1.8,-1.0941,0.0124,0.1114,0.3348,0.0376,0.3244,0.0673,0.2594
184928,-120.8384734201,35.987746606,-75.5094569911,-225.1436790492,857.2388916015625,-590.0,-75.5094569911,-225.1436790492,-0.59,267.24,2017.667,9.10033,0.32149,0.567,8958.0,6478.0,0.61942,0.06709,0.259,62.9,19.2,1.13776,0.1536,0.392,3.1,1.4,-1.1713,0.0128,0.1131,0.31,0.0354,0.0924,0.0672,0.2592
386448,-120.7760123428,35.9452134241,-69.9232803176,-229.9171066861,174.24688720703125,140.0,-69.9232803176,-229.9171066861,0.14,314.25,2017.667,6.72903,0.17929,0.423,836.0,405.0,0.05481,0.06786,0.26,26.4,9.4,2.91813,0.09016,0.3,18.5,5.9,-1.1307,0.0135,0.1162,0.3228,0.0379,0.4136,0.0681,0.261
311107,-120.8089779114,35.9278850907,-72.9100289653,-231.8174565239,273.5940856933594,30.0,-72.9100289653,-231.8174565239,0.03,303.59,2017.667,6.71177,0.1641,0.405,822.0,377.0,0.13104,0.06323,0.251,30.2,9.9,2.93321,0.08424,0.29,18.8,5.8,-1.1862,0.0119,0.1091,0.3054,0.0336,0.3817,0.0628,0.2506
308371,-120.8124479713,35.9200085756,-73.2302633179,-232.6898569842,950.9711303710938,-600.0,-73.2302633179,-232.6898569842,-0.6,350.97,2017.667,8.85939,0.17348,0.417,7040.0,3342.0,0.63049,0.06426,0.253,63.8,18.9,1.30405,0.08853,0.298,3.7,1.2,-1.1693,0.0132,0.1149,0.3106,0.036,0.1738,0.0503,0.2243
410997,-120.7621321034,35.9530899393,-68.6655815232,-229.0521608109,969.6731567382812,-610.0,-68.6655815232,-229.0521608109,-0.61,359.67,2017.667,9.45276,0.4425,0.665,12743.0,11861.0,0.69951,0.07496,0.274,69.9,22.7,0.8452,0.20502,0.453,2.3,1.2,-1.1188,0.0167,0.1292,0.3267,0.0427,0.1055,0.1155,0.3399
59331,-120.8835841982,35.9452134241,-79.6158741896,-229.83227146,488.0257110595703,-250.0,-79.6158741896,-229.83227146,-0.25,238.03,2017.667,7.30952,0.18969,0.436,1494.0,751.0,0.30739,0.05959,0.244,40.2,12.0,2.4473,0.09489,0.308,11.6,3.8,-1.1379,0.0127,0.1127,0.3205,0.0365,0.3873,0.0665,0.2579
86942,-120.8905243179,35.9814453939,-80.2033882181,-225.8010156801,480.6812133789063,-350.0,-80.2033882181,-225.8010156801,-0.35,130.68,2017.667,7.7914,0.13124,0.362,2420.0,968.0,0.33932,0.06021,0.245,42.2,12.6,2.10722,0.06885,0.262,8.2,2.3,-1.1144,0.0112,0.1058,0.3281,0.035,0.3851,0.0406,0.2015
239748,-120.9217548565,36.0066502424,-82.9887941261,-222.9738115757,118.5538330078125,50.0,-82.9887941261,-222.9738115757,0.05,168.55,2017.667,6.38428,0.17001,0.412,592.0,278.0,-0.02546,0.05354,0.231,22.7,6.9,3.15436,0.08718,0.295,23.4,7.4,-1.083,0.0139,0.1179,0.3386,0.0403,0.4986,0.0415,0.2037
184632,-120.8367383902,35.986171303,-75.3547561123,-225.3200803154,549.0113525390625,-310.0,-75.3547561123,-225.3200803154,-0.31,239.01,2017.667,7.99996,0.16174,0.402,2981.0,1354.0,0.39113,0.06408,0.253,45.6,14.1,1.90382,0.08362,0.289,6.7,2.1,-1.0793,0.0116,0.1077,0.3398,0.0369,0.2646,0.0483,0.2198
184530,-120.84020845,35.986171303,-75.6672536447,-225.3173165587,757.9427185058594,-520.0,-75.6672536447,-225.3173165587,-0.52,237.94,2017.667,8.75774,0.20567,0.454,6360.0,3368.0,0.55816,0.065,0.255,57.8,17.5,1.38336,0.10396,0.322,4.0,1.4,-1.1778,0.0127,0.1127,0.308,0.035,0.0757,0.0402,0.2005
224910,-120.887054258,36.0271291819,-79.8433826341,-220.7283164142,305.273193359375,-100.0,-79.8433826341,-220.7283164142,-0.1,205.27,2017.667,7.79238,0.25246,0.502,2422.0,1473.0,0.23789,0.06734,0.259,36.1,12.0,2.16104,0.123,0.351,8.7,3.3,-1.1459,0.0142,0.1192,0.3179,0.0383,0.3525,0.0712,0.2668
210863,-120.8523536595,36.0224032728,-76.7248028145,-221.2820408858,722.0845336914062,-440.0,-76.7248028145,-221.2820408858,-0.44,282.08,2017.667,8.89166,0.29032,0.539,7271.0,4879.0,0.54951,0.06859,0.262,57.2,17.9,1.30731,0.1406,0.375,3.7,1.5,-1.1765,0.0139,0.1179,0.3084,0.0367,0.1155,0.0612,0.2474
266171,-120.8124479713,35.8837766058,-73.2647583202,-236.715149051,812.4022827148438,-590.0,-73.2647583202,-236.715149051,-0.59,222.4,2017.667,8.4278,0.23219,0.482,4572.0,2625.0,0.54102,0.06803,0.261,56.5,17.7,1.59294,0.11479,0.339,4.9,1.8,-1.0923,0.0142,0.1192,0.3354,0.0404,0.3292,0.0542,0.2328
179546,-120.8679689288,35.9924725151,-78.1608208112,-224.5947125132,323.9222717285156,-140.0,-78.1608208112,-224.5947125132,-0.14,183.92,2017.667,7.86232,0.22709,0.477,2598.0,1469.0,0.2306,0.0624,0.25,35.7,11.2,2.11333,0.1111,0.333,8.3,3.0,-1.1365,0.0133,0.1153,0.3209,0.0374,0.3592,0.0675,0.2598
146997,-120.8558237194,35.9656923636,-77.094030236,-227.5799908925,230.0320739746093,-10.0,-77.094030236,-227.5799908925,-0.01,220.03,2017.667,6.80369,0.11098,0.333,901.0,326.0,0.11158,0.05643,0.238,29.3,8.8,2.83177,0.06092,0.247,17.0,4.4,-1.1499,0.0107,0.1034,0.3167,0.033,0.2632,0.0303,0.1741
