,Longitude,Latitude,xm,ym,zm_depth,zm,xkm,ykm,zkm,dem_m,date,mean_tds_t,var_tds_t,sigma_tds_t,mean_tds,sigma_tds,mean_temp_t,var_temp_t,sigma_temp_t,mean_temp,sigma_temp,mean_res_t,var_res_t,sigma_res_t,mean_res,sigma_res,mean_por_t,var_por_t,sigma_por_t,mean_por,sigma_por,mean_bicarb,var_bicarb,sigma_bicarb
8020,-120.8350033603,35.9011049392,-75.2817459416,-234.7723520311,803.9209747314453,-630.0,-75.2817459416,-234.7723520311,-0.63,173.92,2017.667,8.70415,0.1699,0.412,6028.0,2824.0,0.58055,0.06538,0.256,59.6,18.0,1.41777,0.08894,0.298,4.1,1.3,-1.1141,0.013,0.114,0.3282,0.0378,0.343,0.0308,0.1755
65884,-120.8991994675,35.9562405454,-81.0112356181,-228.593929209,635.82470703125,-330.0,-81.0112356181,-228.593929209,-0.33,305.82,2017.667,7.22301,0.18886,0.435,1371.0,687.0,0.35964,0.063,0.251,43.6,13.4,2.48264,0.09555,0.309,12.0,4.0,-1.1284,0.0119,0.1091,0.3236,0.0356,0.4186,0.0512,0.2263
154720,-120.84020845,35.9767194848,-75.676560234,-226.3674380398,813.4850769042969,-540.0,-75.676560234,-226.3674380398,-0.54,273.49,2017.667,8.77893,0.16667,0.408,6496.0,3007.0,0.51443,0.06333,0.252,54.4,16.3,1.35283,0.08695,0.295,3.9,1.2,-1.1431,0.0118,0.1086,0.3188,0.0349,0.0312,0.0323,0.1797
421095,-120.8245931807,35.9436381211,-74.3021149101,-230.0551726285,363.7836608886719,-70.0,-74.3021149101,-230.0551726285,-0.07,293.78,2017.667,7.21659,0.14876,0.386,1362.0,588.0,0.21049,0.06028,0.246,34.5,10.6,2.6117,0.07728,0.278,13.6,4.0,-1.254,0.0116,0.1077,0.2854,0.031,0.3134,0.0621,0.2492
205361,-120.8697039588,36.0113761515,-78.2977895184,-222.4930195744,614.8350677490234,-380.0,-78.2977895184,-222.4930195744,-0.38,234.84,2017.667,9.05631,0.16655,0.408,8572.0,3966.0,0.45943,0.06376,0.253,50.4,15.3,1.20905,0.08599,0.293,3.4,1.0,-1.1421,0.0125,0.1118,0.3191,0.036,0.1052,0.0432,0.2078
380997,-120.7829524625,35.9326109998,-70.560174734,-231.3121006556,497.517333984375,-100.0,-70.560174734,-231.3121006556,-0.1,397.52,2017.667,7.61249,0.27568,0.525,2023.0,1308.0,0.25497,0.06619,0.257,37.1,12.1,2.28116,0.133,0.365,9.8,3.9,-1.1589,0.0137,0.117,0.3138,0.0371,0.3594,0.0715,0.2674
345717,-120.795097672,35.8979543331,-71.6869741417,-235.1533070454,870.5264892578125,-550.0,-71.6869741417,-235.1533070454,-0.55,320.53,2017.667,8.6744,0.26124,0.511,5851.0,3643.0,0.52493,0.06731,0.259,55.2,17.2,1.42563,0.1278,0.357,4.2,1.6,-1.0861,0.014,0.1183,0.3375,0.0404,0.2798,0.0554,0.2354
167499,-120.8731740186,35.984596,-78.6375870455,-225.4655105035,70.9840087890625,80.0,-78.6375870455,-225.4655105035,0.08,150.98,2017.667,6.38777,0.12856,0.359,595.0,235.0,-0.01263,0.06203,0.249,23.3,7.9,3.14898,0.06922,0.263,23.3,6.5,-1.1026,0.012,0.1095,0.332,0.0367,0.4386,0.0342,0.1849
321862,-120.8332683304,35.9247344847,-75.1022507657,-232.1485258839,368.0182342529297,-150.0,-75.1022507657,-232.1485258839,-0.15,218.02,2017.667,7.56248,0.19993,0.447,1925.0,1001.0,0.28501,0.05857,0.242,38.9,11.5,2.29114,0.09926,0.315,9.9,3.4,-1.1477,0.0121,0.11,0.3174,0.0352,0.3448,0.0701,0.2648
326521,-120.8315333004,35.9341863029,-74.9366667703,-231.0998076447,831.8577270507812,-540.0,-74.9366667703,-231.0998076447,-0.54,291.86,2017.667,8.67792,0.19996,0.447,5872.0,3053.0,0.61456,0.05883,0.243,62.4,17.5,1.429,0.10023,0.317,4.2,1.4,-1.1711,0.0124,0.1114,0.31,0.0348,0.1775,0.0461,0.2147
385524,-120.7690722231,35.9436381211,-69.2993682036,-230.0972199641,502.4685668945313,-190.0,-69.2993682036,-230.0972199641,-0.19,312.47,2017.667,8.07472,0.32237,0.568,3212.0,2328.0,0.36146,0.0681,0.261,43.7,14.1,1.89415,0.1542,0.393,6.6,2.9,-1.1005,0.0143,0.1196,0.3327,0.0402,0.3254,0.072,0.2683
382020,-120.7794824027,35.9357616059,-70.2445798785,-230.9646444961,820.9065551757812,-400.0,-70.2445798785,-230.9646444961,-0.4,420.91,2017.667,8.77159,0.25023,0.5,6448.0,3897.0,0.51707,0.06651,0.258,54.6,16.9,1.3516,0.12279,0.35,3.9,1.5,-1.0975,0.0136,0.1166,0.3337,0.0393,0.168,0.056,0.2366
420169,-120.8315333004,35.9436381211,-74.9274564919,-230.0497107197,674.881591796875,-420.0,-74.9274564919,-230.0497107197,-0.42,254.88,2017.667,8.94168,0.12958,0.36,7644.0,3034.0,0.51586,0.05436,0.233,54.6,14.7,1.2214,0.06995,0.264,3.4,0.9,-1.1051,0.0114,0.1068,0.3312,0.0357,0.0363,0.0264,0.1625
21441,-120.8540886894,35.9247344847,-76.9787339934,-232.131827066,252.5701904296875,-70.0,-76.9787339934,-232.131827066,-0.07,182.57,2017.667,7.12913,0.1364,0.369,1248.0,511.0,0.19436,0.06079,0.247,33.6,10.5,2.68039,0.07182,0.268,14.6,4.1,-1.2632,0.0111,0.1054,0.2827,0.03,0.3114,0.06,0.2449
51676,-120.8766440785,35.9515146363,-78.9840751948,-229.1380111573,-10.6688232421875,150.0,-78.9840751948,-229.1380111573,0.15,139.33,2017.667,5.80036,0.14774,0.384,330.0,142.0,0.04137,0.04688,0.217,25.8,6.9,3.5526,0.07825,0.28,34.9,10.4,-1.0995,0.0134,0.1158,0.333,0.0389,0.6753,0.0255,0.1597
77714,-120.9061395872,35.9798700909,-81.6113782675,-225.9627091603,448.4832611083984,-290.0,-81.6113782675,-225.9627091603,-0.29,158.48,2017.667,7.24494,0.18245,0.427,1401.0,687.0,0.29748,0.06408,0.253,39.6,12.5,2.51194,0.09219,0.304,12.3,4.0,-1.1561,0.0126,0.1122,0.3147,0.0357,0.4185,0.0572,0.2392
52243,-120.8714389887,35.9515146363,-78.515119093,-229.1423345945,-13.085556030273438,150.0,-78.515119093,-229.1423345945,0.15,136.91,2017.667,5.76954,0.14372,0.379,320.0,135.0,-0.03501,0.02484,0.158,22.3,3.3,3.59872,0.07302,0.27,36.6,10.4,-1.0998,0.0129,0.1136,0.3329,0.0382,0.6601,0.0259,0.1609
418168,-120.7933626421,35.9782947878,-71.4558516724,-226.2287675699,450.7765502929688,-180.0,-71.4558516724,-226.2287675699,-0.18,270.78,2017.667,7.87325,0.28195,0.531,2626.0,1726.0,0.33731,0.06737,0.26,42.1,13.6,2.04165,0.13599,0.369,7.7,3.1,-1.1083,0.0136,0.1166,0.3301,0.0389,0.3398,0.0705,0.2655
60930,-120.887054258,35.9483640302,-79.9252617786,-229.4793197078,699.6127166748047,-460.0,-79.9252617786,-229.4793197078,-0.46,239.61,2017.667,7.96312,0.17138,0.414,2873.0,1353.0,0.47608,0.06085,0.247,51.6,15.1,1.8893,0.08877,0.298,6.6,2.1,-1.0496,0.0115,0.1072,0.3501,0.0379,0.3406,0.0389,0.1972
