,xkm,ykm,xm,ym,Longitude,Latitude,mean_pred,var_pred,sigma_pred
24526,-76.6695656384,-221.7229342846,-76669.5656383619,-221722.9342846428,-120.8516960509,36.0184397977,86.8,954.3,30.9
2761,-75.3545129469,-234.0153707152,-75354.51294687,-234015.3707151515,-120.8358844528,35.9079122908,-129.2,1733.3,41.6
1255,-72.3376273605,-235.4069672922,-72337.6273605063,-235406.9672921902,-120.8022900751,35.8956219401,-169.4,1049.9,32.4
14011,-71.7961350758,-227.3666315137,-71796.1350757744,-227366.6315137442,-120.7970343708,35.9680282538,-21.1,1757.9,41.9
23017,-73.1111877673,-222.7279762569,-73111.1877672662,-222727.9762569485,-120.812073598,36.0096755985,212.9,2884.3,53.7
15978,-73.0338317266,-226.3615895414,-73033.8317265903,-226361.5895414385,-120.8108692392,35.9769792295,8.8,716.6,26.8
21207,-73.884748174,-223.7330182293,-73884.7481740262,-223733.0182292542,-120.8205687822,36.000570392,159.5,1577.5,39.7
21293,-78.6034666553,-223.6557073083,-78603.4666552617,-223655.7073083077,-120.8729802069,36.0008868724,-67.1,240.9,15.5
23065,-79.2996710213,-222.650665336,-79299.6710213456,-222650.6653360019,-120.8808155975,36.0098741265,-93.5,723.2,26.9
13512,-75.3545129469,-227.5985642766,-75354.51294687,-227598.564276584,-120.8365124673,35.9656649337,-177.1,774.8,27.8
9524,-72.2602713198,-229.6859591421,-72260.2713198303,-229685.9591421422,-120.8019688769,35.9471187569,-58.3,710.5,26.7
11804,-79.5317391434,-228.448984407,-79531.7391433736,-228448.9844069966,-120.8827934557,35.9576701993,-193.9,1038.1,32.2
5344,-71.022574669,-232.1599086124,-71022.5746690145,-232159.9086124332,-120.7880049377,35.9249459951,-100.2,1306.3,36.1
8305,-78.5261106146,-230.3044465097,-78526.1106145857,-230304.4465097149,-120.8714424242,35.9410545613,-196.1,963.4,31.0
191,-72.7244075639,-236.6439420273,-72724.4075638863,-236643.9420273358,-120.8064629173,35.8844590296,-160.5,1961.3,44.3
23431,-80.0732314281,-222.4187325732,-80073.2314281056,-222418.7325731621,-120.8894315317,36.0118964768,-118.2,273.2,16.5
25672,-81.5429962009,-220.7952032333,-81542.9962009494,-220795.2032332836,-120.9059286051,36.0263825794,-75.7,1142.7,33.8
